Time,id,name,status_code,power_w,rated_v,real_v,current_a
00:15,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
00:15,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
00:15,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
00:15,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
00:15,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
00:15,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
00:30,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
00:30,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
00:30,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
00:30,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
00:30,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
00:30,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
00:30,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
00:45,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
00:45,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
00:45,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
00:45,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
00:45,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
00:45,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
00:45,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
01:00,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
01:00,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
01:00,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
01:00,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
01:00,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
01:00,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
01:00,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
01:15,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
01:15,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
01:15,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
01:15,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
01:15,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
01:15,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
01:15,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
01:30,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
01:30,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
01:30,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
01:30,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
01:30,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
01:30,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
01:30,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
01:45,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
01:45,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
01:45,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
01:45,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
01:45,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
01:45,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
01:45,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
02:00,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
02:00,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
02:00,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
02:00,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
02:00,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
02:00,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
02:00,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
02:15,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
02:15,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
02:15,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
02:15,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
02:15,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
02:15,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
02:15,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
02:30,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
02:30,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
02:30,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
02:30,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
02:30,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
02:30,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
02:30,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
02:45,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
02:45,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
02:45,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
02:45,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
02:45,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
02:45,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
02:45,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
03:00,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
03:00,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
03:00,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
03:00,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
03:00,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
03:00,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
03:00,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
03:15,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
03:15,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
03:15,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
03:15,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
03:15,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
03:15,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
03:15,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
03:30,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
03:30,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
03:30,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
03:30,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
03:30,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
03:30,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
03:30,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
03:45,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
03:45,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
03:45,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
03:45,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
03:45,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
03:45,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
03:45,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
04:00,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
04:00,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
04:00,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
04:00,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
04:00,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
04:00,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
04:00,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
04:15,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
04:15,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
04:15,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
04:15,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
04:15,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
04:15,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
04:15,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
04:30,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
04:30,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
04:30,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
04:30,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
04:30,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
04:30,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
04:30,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
04:45,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
04:45,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
04:45,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
04:45,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
04:45,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
04:45,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
04:45,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
05:00,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
05:00,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
05:00,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
05:00,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
05:00,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
05:00,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
05:00,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
05:15,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
05:15,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
05:15,f3_dev_4,3F 照明 1(EP),1,200.0,110,109.6,1.83
05:15,f3_dev_5,3F 照明 2(EP),1,200.0,110,109.6,1.83
05:15,f3_dev_6,3F 冷氣(L3),0,0.0,220,0.0,0.0
05:15,f3_dev_7,3F 照明 1(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_8,3F 照明 2(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_9,3F 插座 1(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_10,3F 插座 2(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_11,3F 插座 3(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_12,3F 插座 4(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_13,3F 插座 5(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_14,3F 插座 6(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_15,3F 插座 7(L3),0,0.0,110,0.0,0.0
05:15,f3_dev_16,3F 插座 8(L3),0,0.0,110,0.0,0.0
05:30,f3_dev_1,3F 洗衣機(EP),1,200.0,110,109.8,1.82
05:30,f3_dev_2,3F 烘衣機(EP),1,200.0,110,109.8,1.82
05:30,f3_dev_3,3F 加壓馬達(EP),1,200.0,220,220.0,0.91
