Time,id,name,status_code,power_w,rated_v,real_v,current_a
02:45,f2_dev_2,2F 照明 2(EP),0,0.0,110,109.7,0.0
02:45,f2_dev_3,2F 除濕機(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_4,2F 衛浴 1(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_5,2F 衛浴 2(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_6,2F 冷氣 1(L2),0,0.0,220,219.4,0.0
02:45,f2_dev_7,2F 冷氣 2(L2),0,0.0,220,219.4,0.0
02:45,f2_dev_8,2F 照明 1(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_9,2F 照明 2(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_10,2F 插座 1(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_11,2F 插座 2(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_12,2F 插座 3(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_13,2F 插座 4(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_14,2F 插座 5(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_15,2F 插座 6(L2),0,0.0,110,109.7,0.0
02:45,f2_dev_16,2F 插座 7(L2),0,0.0,110,109.7,0.0
03:00,f2_dev_1,2F 照明 1(EP),1,100.0,110,108.8,0.92
03:00,f2_dev_2,2F 照明 2(EP),1,100.0,110,108.8,0.92
03:00,f2_dev_3,2F 除濕機(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_4,2F 衛浴 1(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_5,2F 衛浴 2(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_6,2F 冷氣 1(L2),1,300.0,220,217.6,1.38
03:00,f2_dev_7,2F 冷氣 2(L2),1,300.0,220,217.6,1.38
03:00,f2_dev_8,2F 照明 1(L2),1,300.0,110,108.6,2.76
03:00,f2_dev_9,2F 照明 2(L2),1,300.0,110,108.6,2.76
03:00,f2_dev_10,2F 插座 1(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_11,2F 插座 2(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_12,2F 插座 3(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_13,2F 插座 4(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_14,2F 插座 5(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_15,2F 插座 6(L2),1,300.0,110,108.8,2.76
03:00,f2_dev_16,2F 插座 7(L2),1,300.0,110,108.8,2.76
03:15,f2_dev_1,2F 照明 1(EP),0,0.0,110,109.7,0.0
03:15,f2_dev_2,2F 照明 2(EP),0,0.0,110,109.7,0.0
03:15,f2_dev_3,2F 除濕機(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_4,2F 衛浴 1(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_5,2F 衛浴 2(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_6,2F 冷氣 1(L2),0,0.0,220,219.4,0.0
03:15,f2_dev_7,2F 冷氣 2(L2),0,0.0,220,219.4,0.0
03:15,f2_dev_8,2F 照明 1(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_9,2F 照明 2(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_10,2F 插座 1(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_11,2F 插座 2(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_12,2F 插座 3(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_13,2F 插座 4(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_14,2F 插座 5(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_15,2F 插座 6(L2),0,0.0,110,109.7,0.0
03:15,f2_dev_16,2F 插座 7(L2),0,0.0,110,109.7,0.0
03:30,f2_dev_1,2F 照明 1(EP),1,100.0,110,108.8,0.92
03:30,f2_dev_2,2F 照明 2(EP),1,100.0,110,108.8,0.92
03:30,f2_dev_3,2F 除濕機(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_4,2F 衛浴 1(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_5,2F 衛浴 2(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_6,2F 冷氣 1(L2),1,300.0,220,217.6,1.38
03:30,f2_dev_7,2F 冷氣 2(L2),1,300.0,220,217.6,1.38
03:30,f2_dev_8,2F 照明 1(L2),1,300.0,110,108.6,2.76
03:30,f2_dev_9,2F 照明 2(L2),1,300.0,110,108.6,2.76
03:30,f2_dev_10,2F 插座 1(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_11,2F 插座 2(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_12,2F 插座 3(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_13,2F 插座 4(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_14,2F 插座 5(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_15,2F 插座 6(L2),1,300.0,110,108.8,2.76
03:30,f2_dev_16,2F 插座 7(L2),1,300.0,110,108.8,2.76
03:45,f2_dev_1,2F 照明 1(EP),0,0.0,110,109.7,0.0
03:45,f2_dev_2,2F 照明 2(EP),0,0.0,110,109.7,0.0
03:45,f2_dev_3,2F 除濕機(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_4,2F 衛浴 1(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_5,2F 衛浴 2(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_6,2F 冷氣 1(L2),0,0.0,220,219.4,0.0
03:45,f2_dev_7,2F 冷氣 2(L2),0,0.0,220,219.4,0.0
03:45,f2_dev_8,2F 照明 1(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_9,2F 照明 2(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_10,2F 插座 1(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_11,2F 插座 2(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_12,2F 插座 3(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_13,2F 插座 4(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_14,2F 插座 5(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_15,2F 插座 6(L2),0,0.0,110,109.7,0.0
03:45,f2_dev_16,2F 插座 7(L2),0,0.0,110,109.7,0.0
04:00,f2_dev_1,2F 照明 1(EP),1,100.0,110,108.8,0.92
04:00,f2_dev_2,2F 照明 2(EP),1,100.0,110,108.8,0.92
04:00,f2_dev_3,2F 除濕機(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_4,2F 衛浴 1(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_5,2F 衛浴 2(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_6,2F 冷氣 1(L2),1,300.0,220,217.6,1.38
04:00,f2_dev_7,2F 冷氣 2(L2),1,300.0,220,217.6,1.38
04:00,f2_dev_8,2F 照明 1(L2),1,300.0,110,108.6,2.76
04:00,f2_dev_9,2F 照明 2(L2),1,300.0,110,108.6,2.76
04:00,f2_dev_10,2F 插座 1(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_11,2F 插座 2(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_12,2F 插座 3(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_13,2F 插座 4(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_14,2F 插座 5(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_15,2F 插座 6(L2),1,300.0,110,108.8,2.76
04:00,f2_dev_16,2F 插座 7(L2),1,300.0,110,108.8,2.76
04:15,f2_dev_1,2F 照明 1(EP),0,0.0,110,109.7,0.0
04:15,f2_dev_2,2F 照明 2(EP),0,0.0,110,109.7,0.0
04:15,f2_dev_3,2F 除濕機(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_4,2F 衛浴 1(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_5,2F 衛浴 2(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_6,2F 冷氣 1(L2),0,0.0,220,219.4,0.0
04:15,f2_dev_7,2F 冷氣 2(L2),0,0.0,220,219.4,0.0
04:15,f2_dev_8,2F 照明 1(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_9,2F 照明 2(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_10,2F 插座 1(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_11,2F 插座 2(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_12,2F 插座 3(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_13,2F 插座 4(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_14,2F 插座 5(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_15,2F 插座 6(L2),0,0.0,110,109.7,0.0
04:15,f2_dev_16,2F 插座 7(L2),0,0.0,110,109.7,0.0
04:30,f2_dev_1,2F 照明 1(EP),1,100.0,110,108.8,0.92
04:30,f2_dev_2,2F 照明 2(EP),1,100.0,110,108.8,0.92
04:30,f2_dev_3,2F 除濕機(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_4,2F 衛浴 1(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_5,2F 衛浴 2(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_6,2F 冷氣 1(L2),1,300.0,220,217.6,1.38
04:30,f2_dev_7,2F 冷氣 2(L2),1,300.0,220,217.6,1.38
04:30,f2_dev_8,2F 照明 1(L2),1,300.0,110,108.6,2.76
04:30,f2_dev_9,2F 照明 2(L2),1,300.0,110,108.6,2.76
04:30,f2_dev_10,2F 插座 1(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_11,2F 插座 2(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_12,2F 插座 3(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_13,2F 插座 4(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_14,2F 插座 5(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_15,2F 插座 6(L2),1,300.0,110,108.8,2.76
04:30,f2_dev_16,2F 插座 7(L2),1,300.0,110,108.8,2.76
04:45,f2_dev_1,2F 照明 1(EP),0,0.0,110,109.7,0.0
04:45,f2_dev_2,2F 照明 2(EP),0,0.0,110,109.7,0.0
04:45,f2_dev_3,2F 除濕機(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_4,2F 衛浴 1(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_5,2F 衛浴 2(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_6,2F 冷氣 1(L2),0,0.0,220,219.4,0.0
04:45,f2_dev_7,2F 冷氣 2(L2),0,0.0,220,219.4,0.0
04:45,f2_dev_8,2F 照明 1(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_9,2F 照明 2(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_10,2F 插座 1(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_11,2F 插座 2(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_12,2F 插座 3(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_13,2F 插座 4(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_14,2F 插座 5(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_15,2F 插座 6(L2),0,0.0,110,109.7,0.0
04:45,f2_dev_16,2F 插座 7(L2),0,0.0,110,109.7,0.0
05:00,f2_dev_1,2F 照明 1(EP),1,100.0,110,108.8,0.92
05:00,f2_dev_2,2F 照明 2(EP),1,100.0,110,108.8,0.92
05:00,f2_dev_3,2F 除濕機(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_4,2F 衛浴 1(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_5,2F 衛浴 2(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_6,2F 冷氣 1(L2),1,300.0,220,217.6,1.38
05:00,f2_dev_7,2F 冷氣 2(L2),1,300.0,220,217.6,1.38
05:00,f2_dev_8,2F 照明 1(L2),1,300.0,110,108.6,2.76
05:00,f2_dev_9,2F 照明 2(L2),1,300.0,110,108.6,2.76
05:00,f2_dev_10,2F 插座 1(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_11,2F 插座 2(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_12,2F 插座 3(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_13,2F 插座 4(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_14,2F 插座 5(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_15,2F 插座 6(L2),1,300.0,110,108.8,2.76
05:00,f2_dev_16,2F 插座 7(L2),1,300.0,110,108.8,2.76
05:15,f2_dev_1,2F 照明 1(EP),0,0.0,110,109.7,0.0
05:15,f2_dev_2,2F 照明 2(EP),0,0.0,110,109.7,0.0
05:15,f2_dev_3,2F 除濕機(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_4,2F 衛浴 1(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_5,2F 衛浴 2(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_6,2F 冷氣 1(L2),0,0.0,220,219.4,0.0
05:15,f2_dev_7,2F 冷氣 2(L2),0,0.0,220,219.4,0.0
05:15,f2_dev_8,2F 照明 1(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_9,2F 照明 2(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_10,2F 插座 1(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_11,2F 插座 2(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_12,2F 插座 3(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_13,2F 插座 4(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_14,2F 插座 5(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_15,2F 插座 6(L2),0,0.0,110,109.7,0.0
05:15,f2_dev_16,2F 插座 7(L2),0,0.0,110,109.7,0.0
05:30,f2_dev_1,2F 照明 1(EP),1,100.0,110,108.8,0.92
